country_name,country_code,gold,silver,bronze,total
United States,USA,40,44,42,126
China,CHN,40,27,24,91
Japan,JPN,20,12,13,45
Australia,AUS,18,19,16,53
France,FRA,16,26,22,64
Netherlands,NLD,15,7,12,34
Great Britain,GBR,14,22,29,65
South Korea,KOR,13,9,10,32
Italy,ITA,12,13,15,40
Germany,DEU,12,13,8,33
New Zealand,NZL,10,7,3,20
Canada,CAN,9,7,11,27
Uzbekistan,UZB,8,2,3,13
Hungary,HUN,6,7,6,19
Spain,ESP,5,4,9,18
Sweden,SWE,4,4,3,11
Kenya,KEN,4,2,5,11
Norway,NOR,4,1,3,8
Ireland,IRL,4,0,3,7
Brazil,BRA,3,7,10,20
Iran,IRN,3,6,3,12
Ukraine,UKR,3,5,4,12
Romania,ROU,3,4,2,9
Georgia,GEO,3,3,1,7
Belgium,BEL,3,1,6,10
Bulgaria,BGR,3,1,3,7
Serbia,SRB,3,1,1,5
Czech Republic,CZE,3,0,2,5
Denmark,DNK,2,2,5,9
Azerbaijan,AZE,2,2,3,7
Croatia,HRV,2,2,3,7
Cuba,CUB,2,1,6,9
Bahrain,BHR,2,1,1,4
Slovenia,SVN,2,1,0,3
Taiwan,TPE,2,0,5,7
Austria,AUT,2,0,3,5
Hong Kong,HKG,2,0,2,4
Philippines,PHL,2,0,2,4
Algeria,DZA,2,0,1,3
Indonesia,IDN,2,0,1,3
Israel,ISR,1,5,1,7
Poland,POL,1,4,5,10
Kazakhstan,KAZ,1,3,3,7
Jamaica,JAM,1,3,2,6
South Africa,ZAF,1,3,2,6
Thailand,THA,1,3,2,6
Ethiopia,ETH,1,3,0,4
Switzerland,CHE,1,2,5,8
Ecuador,ECU,1,2,2,5
Portugal,PRT,1,2,1,4
Greece,GRC,1,1,6,8
Argentina,ARG,1,1,1,3
Egypt,EGY,1,1,1,3
Tunisia,TUN,1,1,1,3
Botswana,BWA,1,1,0,2
Chile,CHL,1,1,0,2
St Lucia,LCA,1,1,0,2
Uganda,UGA,1,1,0,2
Dominican Republic,DOM,1,0,2,3
Guatemala,GTM,1,0,1,2
Morocco,MAR,1,0,1,2
Dominica,DMA,1,0,0,1
Pakistan,PAK,1,0,0,1
Turkey,TUR,0,3,5,8
Mexico,MEX,0,3,2,5
Armenia,ARM,0,3,1,4
Colombia,COL,0,3,1,4
North Korea,PRK,0,2,4,6
Kyrgyzstan,KGZ,0,2,4,6
Lithuania,LTU,0,2,2,4
India,IND,0,1,5,6
Moldova,MDA,0,1,3,4
Kosovo,XKX,0,1,1,2
Cyprus,CYP,0,1,0,1
Fiji,FJI,0,1,0,1
Jordan,JOR,0,1,0,1
Mongolia,MNG,0,1,0,1
Panama,PAN,0,1,0,1
Tajikistan,TJK,0,0,3,3
Albania,ALB,0,0,2,2
Grenada,GRD,0,0,2,2
Malaysia,MYS,0,0,2,2
Puerto Rico,PRI,0,0,2,2
Cape Verde,CPV,0,0,1,1
Ivory Coast,CIV,0,0,1,1
Peru,PER,0,0,1,1
Qatar,QAT,0,0,1,1
Singapore,SGP,0,0,1,1
Slovakia,SVK,0,0,1,1
Zambia,ZMB,0,0,1,1
