country_name,country_code,gdp2020,gdp2021,gdp2022,gdp2023
Albania,ALB,5343.037704,6377.203096,6810.114041,8367.775731
Argentina,ARG,8500.837939,10650.86046,13650.60463,13730.51471
Armenia,ARM,4505.867742,4972.783204,7018.051504,8715.765336
Australia,AUS,51868.24756,60697.24544,65077.67667,64711.7656
Austria,AUT,48789.49785,53517.89045,52084.6812,56505.96828
Azerbaijan,AZE,4229.910649,5408.045352,7770.594223,7155.083604
Belgium,BEL,45587.96831,51863.83116,49942.09064,53475.2935
Bulgaria,BGR,10148.3424,12219.34187,13974.44925,15797.59558
Bahrain,BHR,23433.18724,26850.00339,30146.92503,29084.30713
Brazil,BRA,6923.699912,7794.880979,9065.497334,10043.62392
Botswana,BWA,5875.070435,7244.158548,7726.110997,7249.799326
Canada,CAN,43537.8393,52496.84417,55509.39318,53371.69743
Switzerland,CHE,85897.78433,93446.43445,93259.90572,99994.93802
Chile,CHL,13162.59135,16185.91477,15411.17395,17093.24197
China,CHN,10408.71955,12617.5051,12662.58317,12614.06099
Cote d'Ivoire,CIV,2350.751397,2649.173048,2491.895934,2728.803246
Colombia,COL,5308.164707,6182.955944,6657.086697,6979.725135
Cabo Verde,CPV,3126.399859,3489.973397,3883.911159,4321.579864
Cuba,CUB,9499.572504,48436.38,56495.85,
Cyprus,CYP,28281.41211,32745.83984,32048.24805,34701.44141
Czechia,CZE,22992.87938,26822.51419,27226.61564,30427.42347
Germany,DEU,46749.47623,51426.75037,48717.99114,52745.75571
Dominica,DMA,7003.469891,7668.158132,8347.32336,8953.896394
Denmark,DNK,60836.59241,69268.6518,67790.05399,67967.38187
Dominican Republic,DOM,7167.914974,8476.749639,10111.24571,10716.01336
Algeria,DZA,3794.409524,4216.251285,5023.252932,5260.20625
Ecuador,ECU,5450.433761,6036.447274,6476.644575,6533.351504
"Egypt, Arab Rep.",EGY,3571.556907,3886.722498,4295.407496,3512.580065
Spain,ESP,26984.29628,30488.82095,29674.54429,32676.98371
Ethiopia,ETH,918.6525941,925.0006976,1027.498631,1293.778008
Fiji,FJI,4815.689129,4656.051362,5356.16438,5868.159168
France,FRA,39179.74426,43671.30841,40886.25327,44460.81785
United Kingdom,GBR,40217.00901,46869.75906,45564.15694,48866.60396
Georgia,GEO,4300.857013,5083.606955,6729.846599,8120.363443
Greece,GRC,17617.29151,20310.68248,20867.26909,22990.01357
Grenada,GRD,8437.536782,9010.5128,9762.414721,10463.64594
Guatemala,GTM,4609.897258,5029.477555,5473.208564,5797.521596
"Hong Kong SAR, China",HKG,46109.22999,49770.56424,48828.12125,50696.59032
Croatia,HRV,14383.8695,17943.41513,18673.17799,21459.78478
Hungary,HUN,16131.95404,18755.10235,18355.82781,22147.20973
Indonesia,IDN,3895.618152,4334.231454,4787.912364,4940.549805
India,IND,1915.551588,2250.179018,2366.309609,2484.845429
Ireland,IRL,85973.08849,102001.7982,103983.2913,103684.8808
"Iran, Islamic Rep.",IRN,2746.419483,4084.200305,4668.457443,4502.546329
Israel,ISR,44846.7916,52129.51596,54930.93881,52261.67615
Italy,ITA,31922.91916,36441.0598,35068.83597,38373.16605
Jamaica,JAM,4897.264762,5183.58103,6047.216444,6874.200284
Jordan,JOR,3998.673138,4152.757954,4311.000051,4482.086026
Japan,JPN,40040.76551,40058.53733,34017.27181,33834.39211
Kazakhstan,KAZ,9121.636409,10270.88734,11484.41681,13136.62291
Kenya,KEN,1936.250755,2069.661129,2099.298568,1949.898969
Kyrgyz Republic,KGZ,1256.929226,1365.508304,1739.8,1969.866481
South Korea,KOR,31721.29891,35125.5225,32394.68337,33121.37129
St. Lucia,LCA,8356.678555,10213.11544,13030.92895,13980.09408
